Arquivo,Variável,Valor Inicial,Linha,Sugestão
AdminLoginScreen.js,senhaDigitada,'',15,Limpar com useFocusEffect ao sair da tela
CadastroScreen.js,nome,'',9,Limpar com useFocusEffect ao sair da tela
CadastroScreen.js,cpf,'',10,Limpar com useFocusEffect ao sair da tela
CadastroScreen.js,email,'',11,Limpar com useFocusEffect ao sair da tela
CadastroScreen.js,senha,'',12,Limpar com useFocusEffect ao sair da tela
CadastroScreen.js,dataNascimento,'',13,Limpar com useFocusEffect ao sair da tela
CadastroScreen.old.js,nome,'',5,Limpar com useFocusEffect ao sair da tela
CadastroScreen.old.js,cpf,'',6,Limpar com useFocusEffect ao sair da tela
CadastroScreen.old.js,email,'',7,Limpar com useFocusEffect ao sair da tela
CadastroScreen.old.js,senha,'',8,Limpar com useFocusEffect ao sair da tela
DenunciaScreen.js,titulo,'',15,Limpar com useFocusEffect ao sair da tela
DenunciaScreen.js,descricao,'',16,Limpar com useFocusEffect ao sair da tela
EditarInformacoesScreen.js,informacoes,'',6,Limpar com useFocusEffect ao sair da tela
EditarInformacoesScreen.js,aviso,'',7,Limpar com useFocusEffect ao sair da tela
ElogiosScreen.js,mensagem,'',16,Limpar com useFocusEffect ao sair da tela
ElogiosScreen.js,imagem,null,17,Limpar com useFocusEffect ao sair da tela
EnviarScreen.js,imagem,null,13,Limpar com useFocusEffect ao sair da tela
EnviarScreen.js,carregando,false,14,Limpar com useFocusEffect ao sair da tela
EnviarScreen.js,nome,'',15,Limpar com useFocusEffect ao sair da tela
EnviarScreen.js,cpf,'',16,Limpar com useFocusEffect ao sair da tela
EnviarScreen.js,documento,null,18,Limpar com useFocusEffect ao sair da tela
EnviarScreen.js,showPostActionModal,false,19,Limpar com useFocusEffect ao sair da tela
EventosPessoaisScreen.js,nomePessoa,'',17,Limpar com useFocusEffect ao sair da tela
EventosPessoaisScreen.js,dataEvento,'',18,Limpar com useFocusEffect ao sair da tela
EventosPessoaisScreen.js,descricao,'',19,Limpar com useFocusEffect ao sair da tela
GaleriaScreen.js,midias,[],8,Limpar com useFocusEffect ao sair da tela
GravarMidiaScreen.js,hasPermission,null,16,Limpar com useFocusEffect ao sair da tela
GravarMidiaScreen.js,capturedMedia,null,22,Limpar com useFocusEffect ao sair da tela
HistoricoScreen.js,manifestacoes,[],7,Limpar com useFocusEffect ao sair da tela
HomeScreen.js,isAdmin,false,16,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,expandedItem,null,8,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,isAdmin,false,9,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,newTitle,'',42,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,newContent,'',43,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,newAnexo,'',44,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,editId,null,45,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,editTitle,'',46,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,editContent,'',47,Limpar com useFocusEffect ao sair da tela
InformacoesScreen.js,editAnexo,'',48,Limpar com useFocusEffect ao sair da tela
InicioScreen.js,nome,'',22,Limpar com useFocusEffect ao sair da tela
InicioScreen.js,cpf,'',23,Limpar com useFocusEffect ao sair da tela
InicioScreen.js,dataNascimento,'',24,Limpar com useFocusEffect ao sair da tela
InicioScreen.js,senha,'',25,Limpar com useFocusEffect ao sair da tela
InicioScreen.js,confirmSenha,'',26,Limpar com useFocusEffect ao sair da tela
InicioScreen.js,senhaError,'',27,Limpar com useFocusEffect ao sair da tela
LoginScreen.js,cpf,'',7,Limpar com useFocusEffect ao sair da tela
LoginScreen.js,senha,'',8,Limpar com useFocusEffect ao sair da tela
PainelAdminScreen.js,aniversariantesHoje,[],21,Limpar com useFocusEffect ao sair da tela
PainelAdminScreen.js,aniversariantesFuturos,[],22,Limpar com useFocusEffect ao sair da tela
PainelAdminScreen.js,mensagemGerada,'',23,Limpar com useFocusEffect ao sair da tela
PerigoScreen.js,descricao,'',5,Limpar com useFocusEffect ao sair da tela
PerigoScreen.js,localizacao,'',6,Limpar com useFocusEffect ao sair da tela
PerigoScreen.js,enviado,false,7,Limpar com useFocusEffect ao sair da tela
RecuperarSenhaScreen.js,cpfFinal,'',8,Limpar com useFocusEffect ao sair da tela
RecuperarSenhaScreen.js,emailRecuperacao,'',9,Limpar com useFocusEffect ao sair da tela
RecuperarSenhaScreen.js,novaSenha,'',10,Limpar com useFocusEffect ao sair da tela
ServicosScreen.js,isAdmin,false,21,Limpar com useFocusEffect ao sair da tela
ServicosScreen.js,serviceLinks,{},22,Limpar com useFocusEffect ao sair da tela
ServicosScreen.js,downloads,[],23,Limpar com useFocusEffect ao sair da tela
SugestaoScreen.js,sugestao,'',5,Limpar com useFocusEffect ao sair da tela
SugestaoScreen.js,categoria,'',6,Limpar com useFocusEffect ao sair da tela
SugestaoScreen.js,enviado,false,7,Limpar com useFocusEffect ao sair da tela
